Evolving_from,Evolving_to,level,item,description,type
Bulbasaur,Ivysaur,16,nulo,,level
Ivysaur,Venusaur,32,nulo,,level
Charmander,Charmeleon,16,nulo,,level
Charmeleon,Charizard,36,nulo,,level
Squirtle,Wartortle,16,nulo,,level
Wartortle,Blastoise,36,nulo,,level
Caterpie,Metapod,7,nulo,,level
Metapod,Butterfree,10,nulo,,level
Weedle,Kakuna,7,nulo,,level
Kakuna,Beedrill,10,nulo,,level
Pidgey,Pidgeotto,18,nulo,,level
Pidgeotto,Pidgeot,36,nulo,,level
Rattata,Raticate,20,nulo,,level
Rattata,Raticate,20,nulo,Nighttime,level
Spearow,Fearow,20,nulo,,level
Ekans,Arbok,22,nulo,,level
Sandshrew,Sandslash,22,nulo,,level
Nidoran♀,Nidorina,16,nulo,,level
Nidoran♂,Nidorino,16,nulo,,level
Zubat,Golbat,22,nulo,,level
Oddish,Gloom,21,nulo,,level
Paras,Parasect,24,nulo,,level
Venonat,Venomoth,31,nulo,,level
Diglett,Dugtrio,26,nulo,,level
Diglett,Dugtrio,26,nulo,,level
Meowth,Persian,28,nulo,,level
Meowth,Perrserker,28,nulo,,level
Psyduck,Golduck,33,nulo,,level
Mankey,Primeape,28,nulo,,level
Poliwag,Poliwhirl,25,nulo,,level
Abra,Kadabra,16,nulo,,level
Machop,Machoke,28,nulo,,level
Bellsprout,Weepinbell,21,nulo,,level
Tentacool,Tentacruel,30,nulo,,level
Geodude,Graveler,25,nulo,,level
Geodude,Graveler,25,nulo,,level
Ponyta,Rapidash,40,nulo,,level
Ponyta,Rapidash,40,nulo,,level
Slowpoke,Slowbro,37,nulo,,level
Magnemite,Magneton,30,nulo,,level
Doduo,Dodrio,31,nulo,,level
Seel,Dewgong,34,nulo,,level
Grimer,Muk,38,nulo,,level
Grimer,Muk,38,nulo,,level
Gastly,Haunter,25,nulo,,level
Drowzee,Hypno,26,nulo,,level
Krabby,Kingler,28,nulo,,level
Voltorb,Electrode,30,nulo,,level
Cubone,Marowak,28,nulo,outside Alola,level
Cubone,Marowak,28,nulo,"Nighttime, in Alola",level
Tyrogue,Hitmonlee,20,nulo,Attack > Defense,level
Tyrogue,Hitmonchan,20,nulo,Attack < Defense,level
Tyrogue,Hitmontop,20,nulo,Attack = Defense,level
Koffing,Weezing,35,nulo,outside Galar,level
Koffing,Weezing,35,nulo,in Galar,level
Rhyhorn,Rhydon,42,nulo,,level
Horsea,Seadra,32,nulo,,level
Goldeen,Seaking,33,nulo,,level
Mr. Mime,Mr. Rime,42,nulo,,level
Smoochum,Jynx,30,nulo,,level
Elekid,Electabuzz,30,nulo,,level
Magby,Magmar,30,nulo,,level
Magikarp,Gyarados,20,nulo,,level
Omanyte,Omastar,40,nulo,,level
Kabuto,Kabutops,40,nulo,,level
Dratini,Dragonair,30,nulo,,level
Dragonair,Dragonite,55,nulo,,level
Chikorita,Bayleef,16,nulo,,level
Bayleef,Meganium,32,nulo,,level
Cyndaquil,Quilava,14,nulo,or Level 17 in Legends: Arceus,level
Quilava,Typhlosion,36,nulo,,level
Quilava,Typhlosion,36,nulo,in Legends: Arceus,level
Totodile,Croconaw,18,nulo,,level
Croconaw,Feraligatr,30,nulo,,level
Sentret,Furret,15,nulo,,level
Hoothoot,Noctowl,20,nulo,,level
Ledyba,Ledian,18,nulo,,level
Spinarak,Ariados,22,nulo,,level
Chinchou,Lanturn,27,nulo,,level
Natu,Xatu,25,nulo,,level
Mareep,Flaaffy,15,nulo,,level
Flaaffy,Ampharos,30,nulo,,level
Marill,Azumarill,18,nulo,,level
Hoppip,Skiploom,18,nulo,,level
Skiploom,Jumpluff,27,nulo,,level
Wooper,Quagsire,20,nulo,,level
Wooper,Clodsire,20,nulo,,level
Wynaut,Wobbuffet,15,nulo,,level
Pineco,Forretress,31,nulo,,level
Snubbull,Granbull,23,nulo,,level
Teddiursa,Ursaring,30,nulo,,level
Slugma,Magcargo,38,nulo,,level
Swinub,Piloswine,33,nulo,,level
Remoraid,Octillery,25,nulo,,level
Houndour,Houndoom,24,nulo,,level
Phanpy,Donphan,25,nulo,,level
Larvitar,Pupitar,30,nulo,,level
Pupitar,Tyranitar,55,nulo,,level
Treecko,Grovyle,16,nulo,,level
Grovyle,Sceptile,36,nulo,,level
Torchic,Combusken,16,nulo,,level
Combusken,Blaziken,36,nulo,,level
Mudkip,Marshtomp,16,nulo,,level
Marshtomp,Swampert,36,nulo,,level
Poochyena,Mightyena,18,nulo,,level
Zigzagoon,Linoone,20,nulo,,level
Zigzagoon,Linoone,20,nulo,,level
Linoone,Obstagoon,35,nulo,Nighttime,level
Wurmple,Silcoon,7,nulo,random based on personality,level
Silcoon,Beautifly,10,nulo,,level
Wurmple,Cascoon,7,nulo,random based on personality,level
Cascoon,Dustox,10,nulo,,level
Lotad,Lombre,14,nulo,,level
Seedot,Nuzleaf,14,nulo,,level
Taillow,Swellow,22,nulo,,level
Wingull,Pelipper,25,nulo,,level
Ralts,Kirlia,20,nulo,,level
Kirlia,Gardevoir,30,nulo,,level
Surskit,Masquerain,22,nulo,,level
Shroomish,Breloom,23,nulo,,level
Slakoth,Vigoroth,18,nulo,,level
Vigoroth,Slaking,36,nulo,,level
Nincada,Ninjask,20,nulo,,level
Nincada,Shedinja,20,nulo,"empty spot in party, Pokéball in bag",level
