Evolving_from,Evolving_to,level,item,description,type
Bulbasaur,Ivysaur,16,null,Evolves at level 16 ,level
Ivysaur,Venusaur,32,null,Evolves at level 32 ,level
Charmander,Charmeleon,16,null,Evolves at level 16 ,level
Charmeleon,Charizard,36,null,Evolves at level 36 ,level
Squirtle,Wartortle,16,null,Evolves at level 16 ,level
Wartortle,Blastoise,36,null,Evolves at level 36 ,level
Caterpie,Metapod,7,null,Evolves at level 7 ,level
Metapod,Butterfree,10,null,Evolves at level 10 ,level
Weedle,Kakuna,7,null,Evolves at level 7 ,level
Kakuna,Beedrill,10,null,Evolves at level 10 ,level
Pidgey,Pidgeotto,18,null,Evolves at level 18 ,level
Pidgeotto,Pidgeot,36,null,Evolves at level 36 ,level
Rattata,Raticate,20,null,Evolves at level 20 ,level
Rattata(Alolan Rattata),Raticate(Alolan Raticate),20,null,Evolves at level 20 Nighttime,level
Spearow,Fearow,20,null,Evolves at level 20 ,level
Ekans,Arbok,22,null,Evolves at level 22 ,level
Sandshrew,Sandslash,22,null,Evolves at level 22 ,level
Nidoran♀,Nidorina,16,null,Evolves at level 16 ,level
Nidoran♂,Nidorino,16,null,Evolves at level 16 ,level
Zubat,Golbat,22,null,Evolves at level 22 ,level
Oddish,Gloom,21,null,Evolves at level 21 ,level
Paras,Parasect,24,null,Evolves at level 24 ,level
Venonat,Venomoth,31,null,Evolves at level 31 ,level
Diglett,Dugtrio,26,null,Evolves at level 26 ,level
Diglett(Alolan Diglett),Dugtrio(Alolan Dugtrio),26,null,Evolves at level 26 ,level
Meowth,Persian,28,null,Evolves at level 28 ,level
Meowth(Galarian Meowth),Perrserker,28,null,Evolves at level 28 ,level
Psyduck,Golduck,33,null,Evolves at level 33 ,level
Mankey,Primeape,28,null,Evolves at level 28 ,level
Poliwag,Poliwhirl,25,null,Evolves at level 25 ,level
Abra,Kadabra,16,null,Evolves at level 16 ,level
Machop,Machoke,28,null,Evolves at level 28 ,level
Bellsprout,Weepinbell,21,null,Evolves at level 21 ,level
Tentacool,Tentacruel,30,null,Evolves at level 30 ,level
Geodude,Graveler,25,null,Evolves at level 25 ,level
