name,types,power,Category,acc,pp,efect
Apple Acid,Grass,80,special,100,10,Lowers target's Special Defense.
Astral Barrage,Ghost,120,special,100,5,The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.
Aura Wheel,Electric,110,physical,100,10,Changes type based on Morpeko's Mode.
Barb Barrage,Poison,60,physical,100,10,Inflicts double damage if the target has a status condition.
Behemoth Bash,Steel,100,physical,100,5,Damage doubles if target is Dynamaxed.
Behemoth Blade,Steel,100,physical,100,5,Damage doubles if target is Dynamaxed.
Bitter Malice,Ghost,75,special,100,10,Inflicts double damage if the target has a status condition.
Bleakwind Storm,Flying,100,special,80,10,May cause frostbite.
Body Press,Fighting,80,physical,100,10,"The higher the user's Defense, the stronger the attack."
Bolt Beak,Electric,85,physical,100,10,"If the user attacks before the target, the power of this move is doubled."
Branch Poke,Grass,40,physical,100,40,
Breaking Swipe,Dragon,60,physical,100,15,Hits multiple opponents and lowers their attack.
Burning Jealousy,Fire,70,special,100,5,"Hits all opponents, and burns any that have had their stats boosted."
Ceaseless Edge,Dark,65,physical,90,15,High critical hit ratio. Damages target with splinters each turn.
Chloroblast,Grass,150,special,95,5,User receives recoil damage.
Clangorous Soul,Dragon,—,status,100,5,Raises all user's stats but loses HP.
Coaching,Fighting,—,status,—,10,Boosts Attack and Defense of a teammate.
Corrosive Gas,Poison,—,status,100,40,Removes opponent's items.
Court Change,Normal,—,status,100,10,Swaps the effects on either side of the field.
Decorate,Fairy,—,status,—,15,Sharply raises target's Attack and Special Attack.
Dire Claw,Poison,80,physical,100,15,"High critical hit ratio. May poison, paralyze or make the opponent drowsy."
Dragon Darts,Dragon,50,physical,100,10,User attacks twice.
Dragon Energy,Dragon,150,special,100,5,"The higher the user's HP, the higher the power."
Drum Beating,Grass,80,physical,100,10,Lowers opponent's Speed.
Dual Wingbeat,Flying,40,physical,90,10,The user slams the target with its wings. The target is hit twice in a row.
Dynamax Cannon,Dragon,100,special,100,5,Damage doubles if opponent is Dynamaxed.
Eerie Spell,Psychic,80,special,100,5,Deals damage and reduces opponent's PP.
Esper Wing,Psychic,80,special,100,10,High critical hit ratio. Raises user's Speed.
Eternabeam,Dragon,160,special,90,5,User can't move on the next turn.
Expanding Force,Psychic,80,special,100,10,Increases power and hits all opponents on Psychic Terrain.
False Surrender,Dark,80,physical,-1,10,Ignores Accuracy and Evasiveness.
Fiery Wrath,Dark,90,special,100,10,May cause flinching.
Fishious Rend,Water,85,physical,100,10,"If the user attacks before the target, the power of this move is doubled."
Flip Turn,Water,60,physical,100,20,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting."
Freezing Glare,Psychic,90,special,100,10,May freeze opponent.
G-Max Befuddle,Bug,—,,-1,5,"Butterfree-exclusive G-Max Move. Poisons, paralyzes, or puts opponent to sleep."
G-Max Cannonade,Water,—,,-1,10,Blastoise-exclusive G-Max Move. Damages non-Water types for 4 turns.
G-Max Centiferno,Fire,—,,-1,5,Centiskorch-exclusive G-Max Move. Traps opponents for 4-5 turns.
G-Max Chi Strike,Fighting,—,,-1,5,Machamp-exclusive G-Max Move. Increases critical hit ratio.
G-Max Cuddle,Normal,—,,-1,5,Eevee-exclusive G-Max Move. Infatuates opponents.
G-Max Depletion,Dragon,—,,-1,5,Duraludon-exclusive G-Max Move. Reduces opponent's PP.
G-Max Drum Solo,Grass,160,,-1,5,Rillaboom-exclusive G-Max Move. Ignores target's ability.
G-Max Finale,Fairy,—,,-1,5,Alcremie-exclusive G-Max Move. Heals the user's team.
