name,game,description
"10,000,000 Volt Thunderbolt","['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","The user, Pikachu wearing a cap, powers up a jolt of electricity using its Z-Power and unleashes it. Critical hits land more easily."
"10,000,000 Volt Thunderbolt","['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"10,000,000 Volt Thunderbolt","['Scarlet', 'Violet']","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Absorb,"['Gold', 'Silver', 'Crystal']",Steals 1/2 of the damage inflicted.
Absorb,"['Ruby', 'Sapphire', 'Emerald']",An attack that absorbs half the damage inflicted.
Absorb,"['FireRed', 'LeafGreen']",An attack that absorbs half the damage it inflicted to restore HP.
Absorb,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target.
Absorb,"['Black', 'White', 'Black 2', 'White 2']",A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target.
Absorb,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target.
Absorb,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon', 'L.G. Pikachu', 'L.G. Eevee']",A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target.
Absorb,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target.
Absorb,"['Scarlet', 'Violet']",A nutrient-draining attack. The user’s HP is restored by up to half the damage taken by the target.
Accelerock,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The user smashes into the target at high speed. This move always goes first.
Accelerock,"['Sword', 'Shield']",The user smashes into the target at high speed. This move always goes first.
Accelerock,"['B.Diamond', 'S.Pearl']","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Accelerock,"['Scarlet', 'Violet']",The user smashes into the target at high speed. This move always goes first.
Acid,"['Gold', 'Silver', 'Crystal']",An attack that may lower DEFENSE.
Acid,"['Ruby', 'Sapphire', 'Emerald']",Sprays a hide-melting acid. May lower DEFENSE.
Acid,"['FireRed', 'LeafGreen']","The foe is sprayed with a harsh, hide-melting acid that may lower DEFENSE."
Acid,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The foe is attacked with a spray of harsh acid. It may also lower the target’s Sp. Def stat.
Acid,"['Black', 'White', 'Black 2', 'White 2']",The opposing team is attacked with a spray of harsh acid. The acid may also lower the targets’ Sp. Def stats.
Acid,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stats.
Acid,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon', 'L.G. Pikachu', 'L.G. Eevee']",The opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stat.
Acid,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stats.
Acid,"['Scarlet', 'Violet']",Opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stats.
Acid Armor,"['Gold', 'Silver', 'Crystal']",Sharply raises the user’s DEFENSE.
Acid Armor,"['Ruby', 'Sapphire', 'Emerald']",Liquifies the user’s body to sharply raise DEFENSE.
Acid Armor,"['FireRed', 'LeafGreen']",The user alters its cells to liquefy itself and sharply raise DEFENSE.
Acid Armor,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']","The user alters its cellular structure to liquefy itself, sharply raising its Defense stat."
Acid Armor,"['Black', 'White', 'Black 2', 'White 2']","The user alters its cellular structure to liquefy itself, sharply raising its Defense stat."
Acid Armor,"['X', 'Y', 'O.Ruby', 'A.Sapphire']","The user alters its cellular structure to liquefy itself, sharply raising its Defense stat."
Acid Armor,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon', 'L.G. Pikachu', 'L.G. Eevee']","The user alters its cellular structure to liquefy itself, sharply raising its Defense stat."
Acid Armor,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","The user alters its cellular structure to liquefy itself, sharply raising its Defense stat."
Acid Armor,"['Scarlet', 'Violet']","The user alters its cellular structure to liquefy itself, sharply boosting its Defense stat."
Acid Downpour,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","The user creates a poisonous swamp using its Z-Power and sinks the target into it at full force. The power varies, depending on the original move."
Acid Downpour,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Acid Downpour,"['Scarlet', 'Violet']","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Acid Spray,"['Black', 'White', 'Black 2', 'White 2']",The user spits fluid that works to melt the target. This harshly reduces the target’s Sp. Def stat.
Acid Spray,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The user spits fluid that works to melt the target. This harshly lowers the target’s Sp. Def stat.
Acid Spray,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The user spits fluid that works to melt the target. This harshly lowers the target’s Sp. Def stat.
