ability,games,Description
Overgrow,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Ups GRASS moves in a pinch.
Overgrow,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Powers up Grass-type moves in a pinch.
Overgrow,"['Black', 'White', 'Black 2', 'White 2']",Powers up Grass-type moves in a pinch.
Overgrow,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Powers up Grass-type moves when the Pokémon is in trouble.
Overgrow,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Powers up Grass-type moves when the Pokémon’s HP is low.
Overgrow,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Powers up Grass-type moves when the Pokémon’s HP is low.
Overgrow,"['Scarlet', 'Violet']",Powers up Grass-type moves when the Pokémon’s HP is low.
Chlorophyll,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Raises SPEED in sunshine.
Chlorophyll,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Boosts the Pokémon’s Speed in sunshine.
Chlorophyll,"['Black', 'White', 'Black 2', 'White 2']",Boosts the Pokémon’s Speed in sunshine.
Chlorophyll,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Boosts the Pokémon’s Speed stat in sunshine.
Chlorophyll,"['Sun', 'Moon']",Boosts the Pokémon’s Speed stat in sunshine.
Chlorophyll,"['Ultra Sun', 'Ultra Moon']",Boosts the Pokémon’s Speed stat in harsh sunlight.
Chlorophyll,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Boosts the Pokémon’s Speed stat in harsh sunlight.
Chlorophyll,"['Scarlet', 'Violet']",Boosts the Pokémon’s Speed stat in harsh sunlight.
Blaze,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Ups FIRE moves in a pinch.
Blaze,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Powers up Fire-type moves in a pinch.
Blaze,"['Black', 'White', 'Black 2', 'White 2']",Powers up Fire-type moves in a pinch.
Blaze,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Powers up Fire-type moves when the Pokémon is in trouble.
Blaze,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Powers up Fire-type moves when the Pokémon’s HP is low.
Blaze,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Powers up Fire-type moves when the Pokémon’s HP is low.
Blaze,"['Scarlet', 'Violet']",Powers up Fire-type moves when the Pokémon’s HP is low.
Solar Power,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']","Boosts Sp. Atk, but lowers HP in sunshine."
Solar Power,"['Black', 'White', 'Black 2', 'White 2']","In sunshine, Sp. Atk is boosted but HP decreases."
Solar Power,"['X', 'Y', 'O.Ruby', 'A.Sapphire']","Boosts the Sp. Atk stat in sunny weather, but HP decreases."
Solar Power,"['Sun', 'Moon']","Boosts the Sp. Atk stat in sunny weather, but HP decreases every turn."
