name,effect,cathegory
Ability Capsule,A capsule that allows a Pokémon with two Abilities to switch between these Abilities when it is used.,Hold items
Ability Patch,Changes a Pokémon's ability to its Hidden Ability.,General items
Ability Shield,An item to be held by a Pokémon. This cute and rather unique-looking shield protects the holder from having its Ability changed by others.,
Ability Urge,"When used, it activates the Ability of an ally Pokémon.",Battle items
Abomasite,Enables Abomasnow to Mega Evolve during battle.,Hold items
Absolite,Enables Absol to Mega Evolve during battle.,Hold items
Absorb Bulb,"A consumable bulb. If the holder is hit by a Water-type move, its Sp. Atk will rise.",Hold items
Academy Ball,"The academy’s standard-issue ball in a regulation size. Lots of students believe that if you kick it right on the academy emblem, it’ll fly in a straight line.",
Academy Bottle,"A bottle emblazoned with the academy’s emblem. It’s light, sturdy, and vacuum insulated, so it’ll keep your hots hot and your colds cold.",
Academy Cup,The academy’s standard-issue cup for picnicking. The careful design of its mouth makes it popular both inside and outside the academy.,
Academy Tablecloth,The academy’s standard-issue tablecloth. It’s made with the latest fiber-processing technology and is so tough that not even a Razor Claw can tear it.,
Adamant Crystal,,Hold items
Adamant Mint,Changes the Pokémon's stats to match the Adamant nature.,Battle items
Adamant Orb,Increases the power of Dragon- and Steel-type moves when held by Dialga.,Hold items
Adrenaline Orb,"Using it makes wild Pokémon more likely to call for help. If held by a Pokémon, it boosts Speed when intimidated. It can be used only once.",Hold items
Aerodactylite,Enables Aerodactyl to Mega Evolve during battle.,Hold items
Aggronite,Enables Aggron to Mega Evolve during battle.,Hold items
Aguav Berry,"Restores HP if it's low, but may cause confusion.",Berries
Air Balloon,"When held by a Pokémon, the Pokémon will float into the air. When the holder is attacked, this item will burst.",Hold items
Alakazite,Enables Alakazam to Mega Evolve during battle.,Hold items
Alomomola Mucus,"Material obtained after defeating/catching Alomomola, used in TM crafting.",General items
Aloraichium Z,"Allows Alolan Raichu to upgrade Thunderbolt to a Z-Move, Stoked Sparksurfer.",Hold items
Altarianite,Enables Altaria to Mega Evolve during battle.,Hold items
Ampharosite,Enables Ampharos to Mega Evolve during battle.,Hold items
Amulet Coin,Doubles prize money if held.,Hold items
Antidote,Cures a Pokémon of poisoning.,Medicine
Apicot Berry,Raises Special Defense when HP is low.,Berries
Apple,This very sweet ingredient is sliced thin to make it easy to add into a sandwich.,
Applin Juice,"Material obtained after defeating/catching Applin, used in TM crafting.",General items
Apricorn,A fruit whose shell can be used to form the capsules of all manner of Poké Balls when crafting them from scratch.,General items
Armor Fossil,A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a collar.,General items
Armorite Ore,,General items
Arrokuda Scales,"Material obtained after defeating/catching Arrokuda, used in TM crafting.",General items
Aspear Berry,"If held by a Pokémon, it defrosts it.",Berries
Assault Vest,Raises Special Defense but prevents the use of status moves.,Hold items
Audinite,Enables Audino to Mega Evolve during battle.,Hold items
Auspicious Armor,Evolves Charcadet into Armarouge.,General items
Aux Evasion,Makes moves less likely to strike a Pokémon during a battle.,Battle items
Aux Guard,Sharply boosts the defensive stats of a Pokémon during a battle.,Battle items
Aux Power,Sharply boosts the offensive stats of a Pokémon during a battle.,Battle items
Aux Powerguard,Sharply boosts the offensive and defensive stats of a Pokémon during a battle.,Battle items
Avocado,"An ingredient with sweet notes—though its flavor is very mild. The avocado’s richness, however, makes it satisfying to eat.",
Awakening,Wakes up a sleeping Pokémon.,Medicine
Axew Scales,"Material obtained after defeating/catching Axew, used in TM crafting.",General items
