name,game,description
Ability Capsule,"['X', 'Y', 'Omega Ruby', 'Alpha Sapphire']",A capsule that allows a Pokémon with two Abilities to switch between these Abilities when it is used.
Ability Capsule,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",A capsule that allows a Pokémon with two Abilities to switch between these Abilities when it is used.
Ability Capsule,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']",A capsule that allows a Pokémon with two Abilities to switch between these Abilities when it is used.
Ability Capsule,"['Scarlet', 'Violet']",A capsule that allows a Pokémon to switch its current Ability to the other Ability its species can have.
Ability Patch,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']",A patch that allows a Pokémon with a regular Ability to have a rare Ability.
Ability Patch,"['Scarlet', 'Violet']",A patch that can be used to change the regular Ability of a Pokémon to a rarer Ability.
Ability Shield,"['Scarlet', 'Violet']",An item to be held by a Pokémon. This cute and rather unique-looking shield protects the holder from having its Ability changed by others.
Ability Urge,"['Black', 'White', 'Black 2', 'White 2']","When used, it activates the Ability of an ally Pokémon."
Ability Urge,"['X', 'Y', 'Omega Ruby', 'Alpha Sapphire']","When used, it activates the Ability of an ally Pokémon."
Ability Urge,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","When used, it activates the Ability of an ally Pokémon."
Ability Urge,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']","When used, it activates the Ability of an ally Pokémon."
Ability Urge,"['Scarlet', 'Violet']","When used, it activates the Ability of an ally Pokémon."
Abomasite,"['X', 'Y', 'Omega Ruby', 'Alpha Sapphire']","One variety of the mysterious Mega Stones. Have Abomasnow hold it, and this stone will enable it to Mega Evolve during battle."
Abomasite,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","One of a variety of mysterious Mega Stones. Have Abomasnow hold it, and this stone will enable it to Mega Evolve during battle."
Abomasite,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']","One of a variety of mysterious Mega Stones. Have Abomasnow hold it, and this stone will enable it to Mega Evolve during battle."
Abomasite,"['Scarlet', 'Violet']","One of a variety of mysterious Mega Stones. Have Abomasnow hold it, and this stone will enable it to Mega Evolve during battle."
Absolite,"['X', 'Y', 'Omega Ruby', 'Alpha Sapphire']","One variety of the mysterious Mega Stones. Have Absol hold it, and this stone will enable it to Mega Evolve during battle."
Absolite,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","One of a variety of mysterious Mega Stones. Have Absol hold it, and this stone will enable it to Mega Evolve during battle."
Absolite,"['Sword', 'Shield', 'Brilliant Diamond', 'Shining Pearl']","One of a variety of mysterious Mega Stones. Have Absol hold it, and this stone will enable it to Mega Evolve during battle."
Absolite,"['Scarlet', 'Violet']","One of a variety of mysterious Mega Stones. Have Absol hold it, and this stone will enable it to Mega Evolve during battle."
Absorb Bulb,"['Black', 'White', 'Black 2', 'White 2']","A consumable bulb. If the holder is hit by a Water-type move, its Sp. Atk will rise."
Absorb Bulb,"['X', 'Y', 'Omega Ruby', 'Alpha Sapphire']",An item to be held by a Pokémon. It boosts Sp. Atk if hit with a Water-type attack. It can only be used once.
Absorb Bulb,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",An item to be held by a Pokémon. It boosts Sp. Atk if hit with a Water-type attack. It can only be used once.
