pokedex_id,abilities
0001,"['Overgrow', 'Chlorophyll']"
0002,"['Overgrow', 'Chlorophyll']"
0003,"['Overgrow', 'Chlorophyll']"
0003,"['Overgrow', 'Chlorophyll']"
0004,"['Blaze', 'Solar Power']"
0005,"['Blaze', 'Solar Power']"
0006,"['Blaze', 'Solar Power']"
0006,"['Blaze', 'Solar Power']"
0006,"['Blaze', 'Solar Power']"
0007,"['Torrent', 'Rain Dish']"
0008,"['Torrent', 'Rain Dish']"
0009,"['Torrent', 'Rain Dish']"
0009,"['Torrent', 'Rain Dish']"
0010,"['Shield Dust', 'Run Away']"
0011,['Shed Skin']
0012,"['Compound Eyes', 'Tinted Lens']"
0013,"['Shield Dust', 'Run Away']"
0014,['Shed Skin']
0015,"['Swarm', 'Sniper']"
0015,"['Swarm', 'Sniper']"
0016,"['Keen Eye', 'Tangled Feet', 'Big Pecks']"
0017,"['Keen Eye', 'Tangled Feet', 'Big Pecks']"
0018,"['Keen Eye', 'Tangled Feet', 'Big Pecks']"
0018,"['Keen Eye', 'Tangled Feet', 'Big Pecks']"
0019,"['Run Away', 'Guts', 'Hustle']"
0019,"['Run Away', 'Guts', 'Hustle']"
0020,"['Run Away', 'Guts', 'Hustle']"
0020,"['Run Away', 'Guts', 'Hustle']"
0021,"['Keen Eye', 'Sniper']"
0022,"['Keen Eye', 'Sniper']"
0023,"['Intimidate', 'Shed Skin', 'Unnerve']"
0024,"['Intimidate', 'Shed Skin', 'Unnerve']"
0025,"['Static', 'Lightning Rod']"
0025,"['Static', 'Lightning Rod']"
0026,"['Static', 'Lightning Rod']"
0026,"['Static', 'Lightning Rod']"
0027,"['Sand Veil', 'Sand Rush']"
0027,"['Sand Veil', 'Sand Rush']"
0028,"['Sand Veil', 'Sand Rush']"
0028,"['Sand Veil', 'Sand Rush']"
0029,"['Poison Point', 'Rivalry', 'Hustle']"
0030,"['Poison Point', 'Rivalry', 'Hustle']"
0031,"['Poison Point', 'Rivalry', 'Sheer Force']"
0032,"['Poison Point', 'Rivalry', 'Hustle']"
0033,"['Poison Point', 'Rivalry', 'Hustle']"
0034,"['Poison Point', 'Rivalry', 'Sheer Force']"
0035,"['Cute Charm', 'Magic Guard', 'Friend Guard']"
0036,"['Cute Charm', 'Magic Guard', 'Unaware']"
0037,"['Flash Fire', 'Drought']"
0037,"['Flash Fire', 'Drought']"
0038,"['Flash Fire', 'Drought']"
0038,"['Flash Fire', 'Drought']"
0039,"['Cute Charm', 'Competitive', 'Friend Guard']"
0040,"['Cute Charm', 'Competitive', 'Frisk']"
0041,"['Inner Focus', 'Infiltrator']"
0042,"['Inner Focus', 'Infiltrator']"
0043,"['Chlorophyll', 'Run Away']"
0044,"['Chlorophyll', 'Stench']"
0045,"['Chlorophyll', 'Effect Spore']"
0046,"['Effect Spore', 'Dry Skin', 'Damp']"
0047,"['Effect Spore', 'Dry Skin', 'Damp']"
0048,"['Compound Eyes', 'Tinted Lens', 'Run Away']"
0049,"['Shield Dust', 'Tinted Lens', 'Wonder Skin']"
0050,"['Sand Veil', 'Arena Trap', 'Sand Force']"
0050,"['Sand Veil', 'Arena Trap', 'Sand Force']"
