pokedex_id,game,description 
0001,"['Red', 'Blue']",A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.
0001,['Yellow'],"It can go for days without eating a single morsel. In the bulb on its back, it stores energy."
0001,['Gold'],The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.
0001,['Silver'],"It carries a seed on its back right from birth. As it grows older, the seed also grows larger."
0001,['Crystal'],"While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow."
0001,"['Ruby', 'Sapphire', 'Emerald']","BULBASAUR can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger."
0001,['FireRed'],There is a plant seed on its back right from the day this POKéMON is born. The seed slowly grows larger.
0001,['LeafGreen'],A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.
0001,"['Diamond', 'Pearl', 'Platinum']","For some time after its birth, it grows by gaining nourishment from the seed on its back."
0001,['HeartGold'],The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.
0001,['SoulSilver'],"It carries a seed on its back right from birth. As it grows older, the seed also grows larger."
0001,"['Black', 'White', 'Black 2', 'White 2']","For some time after its birth, it grows by gaining nourishment from the seed on its back."
0001,['X'],A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.
0001,['Y'],"For some time after its birth, it grows by gaining nourishment from the seed on its back."
0001,"['Omega Ruby', 'Alpha Sapphire']","Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger."
0001,"[""Let's Go Pikachu"", ""Let's Go Eevee""]","It can go for days without eating a single morsel. In the bulb on its back, it stores energy."
0001,['Sword'],There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.
0001,['Shield'],"While it is young, it uses the nutrients that are stored in the seed on its back in order to grow."
0001,"['Brilliant Diamond', 'Shining Pearl']","For some time after its birth, it grows by taking nourishment from the seed on its back."
0002,"['Red', 'Blue']","When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
0002,['Yellow'],The bulb on its back grows by drawing energy. It gives off an aroma when it is ready to bloom.
0002,['Gold'],Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.
0002,['Silver'],"If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom."
0002,['Crystal'],The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms.
0002,"['Ruby', 'Sapphire']","There is a bud on this POKéMON’s back. To support its weight, IVYSAUR’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon."
0002,['FireRed'],"There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower."
0002,['LeafGreen'],"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
0002,['Emerald'],"To support its bulb, IVYSAUR’s legs grow sturdy. If it spends more time lying in the sunlight, the bud will soon bloom into a large flower."
0002,"['Diamond', 'Pearl', 'Platinum']","When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom."
0002,['HeartGold'],Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.
0002,['SoulSilver'],"If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom."
0002,"['Black', 'White', 'Black 2', 'White 2']","When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom."
0002,['X'],"There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower."
0002,['Y'],"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom."
0002,"['Omega Ruby', 'Alpha Sapphire']","There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon."
0002,"[""Let's Go Pikachu"", ""Let's Go Eevee""]",The bud on its back grows by drawing energy. It gives off an aroma when it is ready to bloom.
0002,['Sword'],"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
0002,['Shield'],Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.
0002,"['Brilliant Diamond', 'Shining Pearl']","When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom."
0003,"['Red', 'Blue']",The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
0003,['Yellow'],The flower on its back catches the sun’s rays. The sunlight is then absorbed and used for energy.
0003,['Gold'],"By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power."
0003,['Silver'],"It is able to convert sunlight into energy. As a result, it is more powerful in the summertime."
0003,['Crystal'],"As it warms itself and absorbs the sunlight, its flower petals release a pleasant fragrance."
0003,"['Ruby', 'Sapphire']",There is a large flower on VENUSAUR’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.
0003,['FireRed'],A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.
0003,['LeafGreen'],Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
0003,['Emerald'],VENUSAUR’s flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.
0003,"['Diamond', 'Pearl', 'Platinum']","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon."
0003,['HeartGold'],"By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power."
0003,['SoulSilver'],"It is able to convert sunlight into energy. As a result, it is more powerful in the summertime."
0003,"['Black', 'White', 'Black 2', 'White 2']","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon."
0003,['X'],"By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power."
0003,['Y'],"After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon."
0003,"['Omega Ruby', 'Alpha Sapphire']",There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.
0003,"[""Let's Go Pikachu"", ""Let's Go Eevee""]",The flower on its back catches the sun’s rays. The sunlight is then absorbed and used for energy.
0003,['Sword'],Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
0003,['Shield'],A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.
0003,"['Brilliant Diamond', 'Shining Pearl']","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon."
0003,"['Red', 'Blue']",The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
0003,['Yellow'],The flower on its back catches the sun’s rays. The sunlight is then absorbed and used for energy.
0003,['Gold'],"By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power."
0003,['Silver'],"It is able to convert sunlight into energy. As a result, it is more powerful in the summertime."
0003,['Crystal'],"As it warms itself and absorbs the sunlight, its flower petals release a pleasant fragrance."
0003,"['Ruby', 'Sapphire']",There is a large flower on VENUSAUR’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.
0003,['FireRed'],A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.
0003,['LeafGreen'],Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
0003,['Emerald'],VENUSAUR’s flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.
0003,"['Diamond', 'Pearl', 'Platinum']","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon."
0003,['HeartGold'],"By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power."
0003,['SoulSilver'],"It is able to convert sunlight into energy. As a result, it is more powerful in the summertime."
0003,"['Black', 'White', 'Black 2', 'White 2']","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon."
0003,['X'],"By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power."
0003,['Y'],"After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon."
0003,"['Omega Ruby', 'Alpha Sapphire']",There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.
0003,"[""Let's Go Pikachu"", ""Let's Go Eevee""]",The flower on its back catches the sun’s rays. The sunlight is then absorbed and used for energy.
0003,['Sword'],Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
0003,['Shield'],A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.
0003,"['Brilliant Diamond', 'Shining Pearl']","After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon."
0004,"['Red', 'Blue']","Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."
0004,['Yellow'],The flame at the tip of its tail makes a sound as it burns. You can only hear it in quiet places.
0004,['Gold'],"The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly."
0004,['Silver'],"The flame on its tail indicates CHARMANDER’s life force. If it is healthy, the flame burns brightly."
0004,['Crystal'],"If it’s healthy, the flame on the tip of its tail will burn vigorously, even if it gets a bit wet."
0004,"['Ruby', 'Sapphire']","The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when CHARMANDER is enjoying itself. If the POKéMON becomes enraged, the flame burns fiercely."
0004,['FireRed'],"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out."
0004,['LeafGreen'],"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail."
0004,['Emerald'],"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when CHARMANDER is happy, and blazes when it is enraged."
0004,"['Diamond', 'Pearl', 'Platinum']","The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely."
0004,['HeartGold'],"The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly."
0004,['SoulSilver'],"The flame on its tail indicates CHARMANDER’s life force. If it is healthy, the flame burns brightly."
0004,"['Black', 'White', 'Black 2', 'White 2']","The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely."
0004,['X'],"The flame on its tail indicates Charmander’s life force. If it is healthy, the flame burns brightly."
0004,['Y'],"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out."
