pokedex_id,game,location
0001,"['Red', 'Blue']",Pallet Town
0001,['Yellow'],Cerulean City
0001,"['Gold', 'Silver', 'Crystal']",Trade/migrate from another game
0001,"['Ruby', 'Sapphire']",Trade/migrate from another game
0001,"['FireRed', 'LeafGreen']",Pallet Town
0001,['Emerald'],Trade/migrate from another game
0001,"['Diamond', 'Pearl', 'Platinum']",Trade/migrate from another game
0001,"['HeartGold', 'SoulSilver']",Pallet Town
0001,"['Black', 'White', 'Black 2', 'White 2']",Trade/migrate from another game
0001,"['X', 'Y']",Lumiose City
0001,"['Omega Ruby', 'Alpha Sapphire']",Trade/migrate from another game
0001,"['Sun', 'Moon']",Trade/migrate from another game
0001,"['Ultra Sun', 'Ultra Moon']",Route 2
0001,"['Let\'s Go Pikachu!', 'Let\'s Go Eevee!']","Cerulean City, Viridian Forest"
0001,"['Sword', 'Shield']",Trade/migrate from another game
0001,"['Brilliant Diamond', 'Shining Pearl']","Grassland Cave, Swampy Cave, Riverbank Cave, Still-Water Cavern, Sunlit Cavern, Bogsunk Cavern"
0001,['Legends: Arceus'],Not available in this game
0001,"['Scarlet', 'Violet']",Location data not yet available
0002,"['Red', 'Blue', 'Yellow']",Evolve Bulbasaur
0002,"['Gold', 'Silver', 'Crystal']",Trade/migrate from another game
0002,"['Ruby', 'Sapphire']",Trade/migrate from another game
0002,"['FireRed', 'LeafGreen']",Evolve Bulbasaur
0002,['Emerald'],Trade/migrate from another game
0002,"['Diamond', 'Pearl', 'Platinum']",Trade/migrate from another game
0002,"['HeartGold', 'SoulSilver']",Evolve Bulbasaur
0002,"['Black', 'White', 'Black 2', 'White 2']",Trade/migrate from another game
0002,"['X', 'Y']",Evolve Bulbasaur
0002,"['Omega Ruby', 'Alpha Sapphire']",Trade/migrate from another game
0002,"['Sun', 'Moon']",Trade/migrate from another game
0002,"['Ultra Sun', 'Ultra Moon', 'Let\'s Go Pikachu!', 'Let\'s Go Eevee!']",Evolve Bulbasaur
0002,"['Sword', 'Shield']",Trade/migrate from another game
0002,"['Brilliant Diamond', 'Shining Pearl']",Evolve Bulbasaur
0002,['Legends: Arceus'],Not available in this game
0002,"['Scarlet', 'Violet']",Location data not yet available
0003,"['Red', 'Blue', 'Yellow']",Evolve Bulbasaur/Ivysaur
0003,"['Gold', 'Silver', 'Crystal']",Trade/migrate from another game
0003,"['Ruby', 'Sapphire']",Trade/migrate from another game
0003,"['FireRed', 'LeafGreen']",Evolve Bulbasaur/Ivysaur
0003,['Emerald'],Trade/migrate from another game
0003,"['Diamond', 'Pearl', 'Platinum']",Trade/migrate from another game
0003,"['HeartGold', 'SoulSilver']",Evolve Bulbasaur/Ivysaur
0003,"['Black', 'White', 'Black 2', 'White 2']",Trade/migrate from another game
0003,"['X', 'Y']",Evolve Bulbasaur/Ivysaur
0003,"['Omega Ruby', 'Alpha Sapphire']",Trade/migrate from another game
0003,"['Sun', 'Moon']",Trade/migrate from another game
0003,"['Ultra Sun', 'Ultra Moon', 'Let\'s Go Pikachu!', 'Let\'s Go Eevee!']",Evolve Bulbasaur/Ivysaur
0003,"['Sword', 'Shield']",Trade/migrate from another game
0003,"['Brilliant Diamond', 'Shining Pearl']",Evolve Bulbasaur/Ivysaur
0003,['Legends: Arceus'],Not available in this game
0003,"['Scarlet', 'Violet']",Location data not yet available
0003,"['Red', 'Blue', 'Yellow']",Evolve Bulbasaur/Ivysaur
0003,"['Gold', 'Silver', 'Crystal']",Trade/migrate from another game
0003,"['Ruby', 'Sapphire']",Trade/migrate from another game
0003,"['FireRed', 'LeafGreen']",Evolve Bulbasaur/Ivysaur
0003,['Emerald'],Trade/migrate from another game
0003,"['Diamond', 'Pearl', 'Platinum']",Trade/migrate from another game
0003,"['HeartGold', 'SoulSilver']",Evolve Bulbasaur/Ivysaur
0003,"['Black', 'White', 'Black 2', 'White 2']",Trade/migrate from another game
0003,"['X', 'Y']",Evolve Bulbasaur/Ivysaur
0003,"['Omega Ruby', 'Alpha Sapphire']",Trade/migrate from another game
0003,"['Sun', 'Moon']",Trade/migrate from another game
0003,"['Ultra Sun', 'Ultra Moon', 'Let\'s Go Pikachu!', 'Let\'s Go Eevee!']",Evolve Bulbasaur/Ivysaur
0003,"['Sword', 'Shield']",Trade/migrate from another game
0003,"['Brilliant Diamond', 'Shining Pearl']",Evolve Bulbasaur/Ivysaur
0003,['Legends: Arceus'],Not available in this game
0003,"['Scarlet', 'Violet']",Location data not yet available
0004,"['Red', 'Blue']",Pallet Town
0004,['Yellow'],Route 24
0004,"['Gold', 'Silver', 'Crystal']",Trade/migrate from another game
0004,"['Ruby', 'Sapphire']",Trade/migrate from another game
0004,"['FireRed', 'LeafGreen']",Pallet Town
0004,['Emerald'],Trade/migrate from another game
0004,"['Diamond', 'Pearl', 'Platinum']",Trade/migrate from another game
0004,"['HeartGold', 'SoulSilver']",Pallet Town
0004,"['Black', 'White', 'Black 2', 'White 2']",Trade/migrate from another game
0004,"['X', 'Y']",Lumiose City
0004,"['Omega Ruby', 'Alpha Sapphire']",Trade/migrate from another game
0004,"['Sun', 'Moon']",Trade/migrate from another game
0004,"['Ultra Sun', 'Ultra Moon']",Route 3
0004,"['Let\'s Go Pikachu!', 'Let\'s Go Eevee!']","Route 3, 4, 24, Rock Tunnel"
0004,"['Sword', 'Shield']",Trade/migrate from another game
0004,"['Brilliant Diamond', 'Shining Pearl']","Volcanic Cave, Sandsear Cave, Typhlo Cavern"
0004,['Legends: Arceus'],Not available in this game
0004,"['Scarlet', 'Violet']",Location data not yet available
0005,"['Red', 'Blue', 'Yellow']",Evolve Charmander
0005,"['Gold', 'Silver', 'Crystal']",Trade/migrate from another game
0005,"['Ruby', 'Sapphire']",Trade/migrate from another game
0005,"['FireRed', 'LeafGreen']",Evolve Charmander
0005,['Emerald'],Trade/migrate from another game
0005,"['Diamond', 'Pearl', 'Platinum']",Trade/migrate from another game
0005,"['HeartGold', 'SoulSilver']",Evolve Charmander
0005,"['Black', 'White', 'Black 2', 'White 2']",Trade/migrate from another game
0005,"['X', 'Y']",Evolve Charmander
0005,"['Omega Ruby', 'Alpha Sapphire']",Trade/migrate from another game
0005,"['Sun', 'Moon']",Trade/migrate from another game
0005,"['Ultra Sun', 'Ultra Moon', 'Let\'s Go Pikachu!', 'Let\'s Go Eevee!']",Evolve Charmander
0005,"['Sword', 'Shield']",Trade/migrate from another game
0005,"['Brilliant Diamond', 'Shining Pearl']",Evolve Charmander
0005,['Legends: Arceus'],Not available in this game
0005,"['Scarlet', 'Violet']",Location data not yet available
0006,"['Red', 'Blue', 'Yellow']",Evolve Charmander/Charmeleon
0006,"['Gold', 'Silver', 'Crystal']",Trade/migrate from another game
0006,"['Ruby', 'Sapphire']",Trade/migrate from another game
0006,"['FireRed', 'LeafGreen']",Evolve Charmander/Charmeleon
0006,['Emerald'],Trade/migrate from another game
0006,"['Diamond', 'Pearl', 'Platinum']",Trade/migrate from another game
0006,"['HeartGold', 'SoulSilver']",Evolve Charmander/Charmeleon
0006,"['Black', 'White', 'Black 2', 'White 2']",Trade/migrate from another game
0006,"['X', 'Y']",Evolve Charmander/Charmeleon
0006,"['Omega Ruby', 'Alpha Sapphire']",Trade/migrate from another game
0006,"['Sun', 'Moon']",Trade/migrate from another game
0006,"['Ultra Sun', 'Ultra Moon']",Evolve Charmander/Charmeleon
0006,"['Let\'s Go Pikachu!', 'Let\'s Go Eevee!']","Route 2, 3, 4, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25"
0006,"['Sword', 'Shield']",Trade/migrate from another game
0006,"['Brilliant Diamond', 'Shining Pearl']",Evolve Charmander/Charmeleon
0006,['Legends: Arceus'],Not available in this game
0006,"['Scarlet', 'Violet']",Location data not yet available
0006,"['Red', 'Blue', 'Yellow']",Evolve Charmander/Charmeleon
