pokedex_id,move_name,level
0001,Growl,1
0001,Tackle,1
0001,Vine Whip,3
0001,Growth,6
0001,Leech Seed,9
0001,Razor Leaf,12
0001,Poison Powder,15
0001,Sleep Powder,15
0001,Seed Bomb,18
0001,Take Down,21
0001,Sweet Scent,24
0001,Synthesis,27
0001,Worry Seed,30
0001,Power Whip,33
0001,Solar Beam,36
0002,Growl,1
0002,Growth,1
0002,Tackle,1
0002,Vine Whip,1
0002,Leech Seed,9
0002,Razor Leaf,12
0002,Poison Powder,15
0002,Sleep Powder,15
0002,Seed Bomb,20
0002,Take Down,25
0002,Sweet Scent,30
0002,Synthesis,35
0002,Worry Seed,40
0002,Power Whip,45
0002,Solar Beam,50
0003,Growl,1
0003,Growth,1
0003,Petal Dance,1
0003,Tackle,1
0003,Vine Whip,1
0003,Leech Seed,9
0003,Razor Leaf,12
0003,Poison Powder,15
0003,Sleep Powder,15
0003,Seed Bomb,20
0003,Take Down,25
0003,Sweet Scent,30
0003,Synthesis,37
0003,Worry Seed,44
0003,Power Whip,51
0003,Solar Beam,58
0003,Growl,1
0003,Growth,1
0003,Petal Dance,1
0003,Tackle,1
0003,Vine Whip,1
0003,Leech Seed,9
0003,Razor Leaf,12
0003,Poison Powder,15
0003,Sleep Powder,15
0003,Seed Bomb,20
0003,Take Down,25
0003,Sweet Scent,30
0003,Synthesis,37
0003,Worry Seed,44
0003,Power Whip,51
0003,Solar Beam,58
0004,Growl,1
0004,Scratch,1
0004,Ember,4
0004,Smokescreen,8
0004,Dragon Breath,12
0004,Fire Fang,17
0004,Slash,20
0004,Flamethrower,24
0004,Scary Face,28
0004,Fire Spin,32
0004,Inferno,36
0004,Flare Blitz,40
0005,Ember,1
0005,Growl,1
0005,Scratch,1
0005,Smokescreen,1
0005,Dragon Breath,12
0005,Fire Fang,19
0005,Slash,24
0005,Flamethrower,30
0005,Scary Face,37
0005,Inferno,48
0005,Flare Blitz,54
0006,Dragon Claw,1
0006,Ember,1
0006,Growl,1
0006,Heat Wave,1
0006,Scratch,1
0006,Smokescreen,1
0006,Dragon Breath,12
0006,Fire Fang,19
0006,Slash,24
0006,Flamethrower,30
0006,Scary Face,39
0006,Fire Spin,46
0006,Inferno,54
0006,Flare Blitz,62
0006,Dragon Claw,1
0006,Ember,1
0006,Growl,1
0006,Heat Wave,1
0006,Scratch,1
0006,Smokescreen,1
0006,Dragon Breath,12
0006,Fire Fang,19
0006,Slash,24
0006,Flamethrower,30
0006,Scary Face,39
0006,Fire Spin,46
0006,Inferno,54
0006,Flare Blitz,62
0006,Dragon Claw,1
0006,Ember,1
0006,Growl,1
0006,Heat Wave,1
